,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
119,Chikitsa Hospital,"Saket, Delhi",9.0,50.0,https://www.practo.com/delhi/hospital/chikitsa-hospital-saket-2
120,Delhi E.N.T. Multi- Speciality Hospital,"Jasola, Delhi",2.0,10.0,https://www.practo.com/delhi/hospital/delhi-e-n-t-multi-speciality-hospital-jasola
121,A-One Hospital,"Paschim Vihar, Delhi",8.0,20.0,https://www.practo.com/delhi/hospital/a-one-hospital-paschim-vihar-1-1
122,Kukreja Hospital,"Mayur Vihar Ph-I, Delhi",9.0,25.0,https://www.practo.com/delhi/hospital/kukreja-hospital-mayur-vihar-ph-i
123,Jeewan Hospital Gate No. 1,"New Friends Colony, Delhi",12.0,100.0,https://www.practo.com/delhi/hospital/jeewan-hospital-nursing-home-private-limited-new-friends-colony
124,"Max Super Speciality Hospital, Saket","Saket, Delhi",3.0,,https://www.practo.com/delhi/hospital/max-super-speciality-hospital-saket-saket-3
125,Bapu Nature Cure Hospital & Yogashram,"Mayur Vihar Ph-I, Delhi",1.0,40.0,https://www.practo.com/delhi/hospital/babu-nature-care-hospital-yogeshram-patparganj
126,Faraz Hospital,"Okhla, Delhi",14.0,,https://www.practo.com/delhi/hospital/faraz-hospital-okhla
127,Vaatsalya Multispeciality Clinic,"Malviya Nagar, Delhi",5.0,,https://www.practo.com/delhi/hospital/vaatsalya-multispeciality-clinic-malviya-nagar-1
128,Shroff Eye Centre,"Connaught Place, Delhi",13.0,,https://www.practo.com/delhi/hospital/shroff-eye-centre-connaught-place-connaught-place
129,SHUBHAM HOSPITAL,"Kalkaji, Delhi",4.0,20.0,https://www.practo.com/delhi/hospital/shubham-hospital-kalkaji
130,Pushpanjali Medical Centre,"Anand Vihar, Delhi",6.0,45.0,https://www.practo.com/delhi/hospital/pushpanjali-medical-centre-karkardooma
131,Parnami Orthopaedic Hospital,"Azadpur, Delhi",2.0,2.0,https://www.practo.com/delhi/hospital/parnami-orthopedic-centre-azadpur
132,Divya Prastha Hospital,"Palam Colony, Delhi",19.0,55.0,https://www.practo.com/delhi/hospital/divya-prastha-hospital-diagnostic-centre-palam-village
133,Navjeevan Hospital - Pitampura,"Pitampura, Delhi",2.0,25.0,https://www.practo.com/delhi/hospital/navjeevan-hospital-pitampura-pitampura-1
134,Family Hospital Pvt. Ltd.,"Tilak Nagar, Delhi",2.0,3.0,https://www.practo.com/delhi/hospital/family-hospital-p-ltd-tilak-nagar
135,Garg Hospital,"Karkardooma, Delhi",6.0,30.0,https://www.practo.com/delhi/hospital/garg-hospital-karkardooma
136,Rockland Hospital,"Qutab Institutional Area, Delhi",35.0,301.0,https://www.practo.com/delhi/hospital/rockland-hospital-qutab-institutional-area-2
137,Eye7 Chaudhary Eye Centre,"Darya Ganj, Delhi",8.0,20.0,https://www.practo.com/delhi/hospital/chaudhary-eye-centre-laser-vision-darya-ganj
138,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58.0,495.0,https://www.practo.com/delhi/hospital/batra-hospital-and-medical-research-center-delhi-tuglakabad
139,Khanna Hospital,"Janak Puri, Delhi",3.0,38.0,https://www.practo.com/delhi/hospital/khanna-hospital-janak-puri
140,All India Institute Of Medical Sciences,"Ansari Nagar, Delhi",6.0,5.0,https://www.practo.com/delhi/hospital/aiims-ansari-nagar-1
141,Sawan Neelu Angels Nursing Home,"Saket, Delhi",9.0,25.0,https://www.practo.com/delhi/hospital/sawan-neelu-angels-nursing-home-saket-1
142,Sunrise Hospital - Rohini,"Rohini, Delhi",8.0,,https://www.practo.com/delhi/hospital/sunrise-hospital-rohini-rohini
143,Dharampal Memorial Hospital,"Loni, Delhi",13.0,,https://www.practo.com/delhi/hospital/dharampal-memorial-hospital-loni
144,Swastik Medical Center,"Anand Vihar, Delhi",2.0,13.0,https://www.practo.com/delhi/hospital/swastik-medical-center-anand-vihar-1
145,Kanta Sethi Hospital,"Rohini, Delhi",6.0,,https://www.practo.com/delhi/hospital/kanta-sethi-hospital-rohini-1
146,Get Well Hospital ,"Shalimar Bagh, Delhi",3.0,,https://www.practo.com/delhi/hospital/get-well-hospital-shalimar-bagh
147,Perfect Tyagi Hospital,"Dilshad Garden, Delhi",7.0,,https://www.practo.com/delhi/hospital/perfect-tyagi-hospital-dilshad-garden-1
148,Nijhara Hospital ,"Patel Nagar South, Delhi",14.0,,https://www.practo.com/delhi/hospital/nijhara-hospital-patel-nagar-south-1
149,Sukhmani Hospital,"Safdarjung Enclave, Delhi",3.0,30.0,https://www.practo.com/delhi/hospital/sukhmani-hospital-delhi
150,Dr Chaudhry's Moral Hospital Pvt.Ltd,"Yamuna Vihar, Delhi",8.0,12.0,https://www.practo.com/delhi/hospital/dr-choudhry-s-moral-hospital
151,Aakash Medical Centre,"Malviya Nagar, Delhi",2.0,,https://www.practo.com/delhi/hospital/aakash-medical-center-sheikh-sarai
152,Ram Lal Kundan Lal Orthopedic Hospital,"Patparganj, Delhi",7.0,,https://www.practo.com/delhi/hospital/ram-lal-kundan-lal-orthopedic-hospital-patparganj
153,Banarasi Das Chandiwal Institute Of Medical Sciences,"Kalkaji, Delhi",1.0,30.0,https://www.practo.com/delhi/hospital/banarasi-das-chandiwal-institute-of-medical-sciences-kalkaji
154,Chandar Leela Hospital,"Uttam Nagar, Delhi",1.0,15.0,https://www.practo.com/delhi/hospital/chandar-leela-hospital-uttam-nagar
155,B T Hospital,"Mukherjee Nagar, Delhi",1.0,2.0,https://www.practo.com/delhi/hospital/b-t-hospital-mukherjee-nagar
156,Indraprastha Apollo Hospital,"Sarita Vihar, Delhi",22.0,,https://www.practo.com/delhi/hospital/indraprastha-apollo-hospital-sarita-vihar-3-1
157,Santom Hospital,"Rohini, Delhi",6.0,105.0,https://www.practo.com/delhi/hospital/santom-hospital-pvt-ltd-rohini
158,Jeevan Jyoti Hospital,"New Rajendra Nagar, Delhi",3.0,,https://www.practo.com/delhi/hospital/jeevan-jyoti-hospital-new-rajendra-nagar
159,Veena Nursing Home,"Rohini, Delhi",12.0,6.0,https://www.practo.com/delhi/hospital/veena-nursing-home-rohini-1
160,Vikas Hospital PVT LTD,"Najafgarh, Delhi",25.0,,https://www.practo.com/delhi/hospital/vikas-hospital-pvt-ltd-najafgarh
161,Satya Bhama Hospital,"Nangloi, Delhi",4.0,55.0,https://www.practo.com/delhi/hospital/satyabhama-hospital-nangloi
