,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
81,Indo-us Superspeciality Hospital,"Ameerpet, Hyderabad",2.0,50.0,https://www.practo.com/hyderabad/hospital/indous-hospital-ameerpet
82,Vijaya Nursing Home,"Chanda Nagar, Hyderabad",5.0,,https://www.practo.com/hyderabad/hospital/vijaya-nursing-home-chanda-nagar-1
83,KIMS Hospital,"Kondapur, Hyderabad",32.0,150.0,https://www.practo.com/hyderabad/hospital/kims-hospitals-kondapur-1
84,Alpha Hospital,"Charminar, Hyderabad",21.0,120.0,https://www.practo.com/hyderabad/hospital/alpha-hospital-charminar
85,Praanadah Hospital,"Madhapur, Hyderabad",5.0,,https://www.practo.com/hyderabad/hospital/praanadah-hospital-madhapur
86,Surakshaka Multi-Speciality And Diabetes Hospitals,"KPHB, Hyderabad",11.0,,https://www.practo.com/hyderabad/hospital/suraksha-hospitals-kukatpally
87,Tanvir Hospital,"Srinagar Colony, Hyderabad",4.0,37.0,https://www.practo.com/hyderabad/hospital/nova-speciality-surgery-jubilee-hills
88,Apollo Hospitals,"Jubilee Hills, Hyderabad",175.0,550.0,https://www.practo.com/hyderabad/hospital/apollo-hospitals-18-jubilee-hills
89,Basant Sahney Hospital,"West Marredpally, Hyderabad",19.0,60.0,https://www.practo.com/hyderabad/hospital/basant-sahney-hospital-west-marredpally
90,Udai Omni Hospital,"Chapel Road, Hyderabad",12.0,70.0,https://www.practo.com/hyderabad/hospital/udai-omini-hospital-for-advancedorthopaedics-trauma-nampally
91,Prasad Hospital ,"Nacharam, Hyderabad",13.0,100.0,https://www.practo.com/hyderabad/hospital/prasad-hospital-nacharam
92,Remedy Hospitals,"Kukatpally, Hyderabad",1.0,80.0,https://www.practo.com/hyderabad/hospital/remedy-super-specality-hospitals-kukatpally
93,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17.0,100.0,https://www.practo.com/hyderabad/hospital/shalivahana-hospitality-dilsukh-nagar
94,Dr. Saji D'souza's KSAC Hospital,"Punjagutta, Hyderabad",3.0,40.0,https://www.practo.com/hyderabad/hospital/dr-saji-d-souza-s-ksac-hospitals-panjagutta-1
95,Dr. P Siva Reddy Eye Hospital,"Himayat Nagar, Hyderabad",1.0,20.0,https://www.practo.com/hyderabad/hospital/dr-p-siva-reddy-eye-hospital-narayanguda
96,Mythri Hospital,"Chanda Nagar, Hyderabad",11.0,150.0,https://www.practo.com/hyderabad/hospital/mythri-hospital-chanda-nagar
97,Srinivasa Hospital,"Narayanguda, Hyderabad",1.0,100.0,https://www.practo.com/hyderabad/hospital/srinivasa-hospital-narayanguda
98,"Aravind Eye Hospital, Mehdipatnam","Mehdipatnam, Hyderabad",5.0,,https://www.practo.com/hyderabad/hospital/aravind-eye-hospital-mehdipatnam-mehdipatnam
99,Jaya Bhushan Hospitals,"Mehdipatnam, Hyderabad",2.0,25.0,https://www.practo.com/hyderabad/hospital/jaya-bhushan-hospitals-pvt-ltd-mehdipatnam
100,Amrita ENT Head and Neck Hospital,"KPHB, Hyderabad",3.0,3.0,https://www.practo.com/hyderabad/hospital/amrita-ent-head-and-neck-hospital-kukatpally
101,Dr Raos Super Speciality ENT Hospital,"Punjagutta, Hyderabad",1.0,10.0,https://www.practo.com/hyderabad/hospital/dr-raos-super-speciality-ent-hospital-punjagutta
102,Manju Sudha Multi speciality ,"Dilsukhnagar, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/manju-sudha-multi-speciality-dilsukh-nagar
103,Majestic Hospital,"Langer House, Hyderabad",7.0,,https://www.practo.com/hyderabad/hospital/majestic-hospital-langer-house
104,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",15.0,100.0,https://www.practo.com/hyderabad/hospital/geetha-multi-speciality-hospital-west-marredpally
105,Sree Netralaya Eye Hospital,"Kothapet, Hyderabad",8.0,10.0,https://www.practo.com/hyderabad/hospital/sree-netralaya-eye-hospital-laser-centre-pvt-ltd-dilsukh-nagar
106,"Nirmala Maternity, Orthopaedic And General Hospital","Mehdipatnam, Hyderabad",1.0,30.0,https://www.practo.com/hyderabad/hospital/nirmala-maternity-orthopaedic-and-general-hospital-mehdipatnam
107,Sai Raghavendra Orthopaedic And Multispeciality Hospital,"Bowenpally, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/sai-raghavendra-orthopaedic-and-multispeciality-hospital-bowenpally
108,Matrix Hospital,"Ramanthapur, Hyderabad",16.0,20.0,https://www.practo.com/hyderabad/hospital/matrix-hospital-ramanthapur-1
109,Avis Hospitals,"Jubilee Hills, Hyderabad",11.0,20.0,https://www.practo.com/hyderabad/hospital/beams-hospitals
110,Endo Viz Hospital,"Kukatpally, Hyderabad",1.0,75.0,https://www.practo.com/hyderabad/hospital/endo-wiz-kukatpally
111,SMS ENT And Surgical Hospital,"Himayat Nagar, Hyderabad",2.0,15.0,https://www.practo.com/hyderabad/hospital/sms-ent-and-surgical-hospital-himayat-nagar
112,Sri Srinivasa Hospital,"Santosh Nagar, Hyderabad",5.0,51.0,https://www.practo.com/hyderabad/hospital/sri-srinivasa-hospital-santosh-nagar
113,Ozone Hospitals,"Dilsukhnagar, Hyderabad",9.0,250.0,https://www.practo.com/hyderabad/hospital/ozone-hospitals-dilsukh-nagar-2-1
114,Apoorva Hospital,"Mehdipatnam, Hyderabad",33.0,20.0,https://www.practo.com/hyderabad/hospital/apoorva-hospital-mehdipatnam-1
115,Hyderabad Multispeciality Hospital,"Malakpet, Hyderabad",3.0,60.0,https://www.practo.com/hyderabad/hospital/joint-replacements-and-advanced-orthopaedics-malakpet
116,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",16.0,150.0,https://www.practo.com/hyderabad/hospital/lotus-children-s-hospital-lakdikapul
117,Paramitha Children Hospital,"Dilsukhnagar, Hyderabad",6.0,100.0,https://www.practo.com/hyderabad/hospital/paramitha-children-hospital-dilsukh-nagar
118,CARE HOSPITAL ( GURUNANAK ) MUSHEERABAD,"Musheerabad, Hyderabad",32.0,90.0,https://www.practo.com/hyderabad/hospital/gurunanak-care-hospital-musheerabad
119,Elbit Polyclinics Tarnaka,"Secunderabad, Hyderabad",29.0,56.0,https://www.practo.com/hyderabad/hospital/sri-narmada-hospital-gandhinagar
