,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
142,Shree Hospital,"Nagar Road, Pune",7.0,25.0,https://www.practo.com/pune/hospital/shree-hospital-nagar-road-nagar-road-1
143,Lilawati Hospital,"Rajgurunagar, Pune",1.0,,https://www.practo.com/pune/hospital/lilawati-hospital-rajgurunagar
144,Jansheel Hospital,"Pimpri, Pune",5.0,,https://www.practo.com/pune/hospital/janshil-hospital-pimpri
145,Jog Hospital C D C R Foundation ,"Paud Road, Pune",7.0,,https://www.practo.com/pune/hospital/jog-hospital-c-d-c-r-foundation-paud-road
146,Jijau Hospital,"Kunjirwadi, Pune",1.0,,https://www.practo.com/pune/hospital/jijau-hospital-kunjirwadi
147,Ram Krishna Hospital,"Sadashiv Peth, Pune",1.0,10.0,https://www.practo.com/pune/hospital/ram-krishna-hospital-sadashiv-peth
148,Sant Sopandev Hospital and Criticare Centre,"Saswad, Pune",1.0,25.0,https://www.practo.com/pune/hospital/sant-sopandeo-hospital-and-criticare-centre-saswad
149,Mayureshwar Multispeciality Hospital,"Narhe, Pune",1.0,,https://www.practo.com/pune/hospital/mayureshwar-multispeciality-hospital-narhe
150,Asian Hospital,"Bhugaon, Pune",1.0,10.0,https://www.practo.com/pune/hospital/asian-hospital-bhugaon-bhugaon
151,NIXI ICU & Accident Hospital,"Handewadi, Pune",2.0,25.0,https://www.practo.com/pune/hospital/nixi-icu-accident-hospital-handewadi
152,Saijyoti Hospital,"Thergaon, Pune",1.0,30.0,https://www.practo.com/pune/hospital/saijyoti-orthocare-x-ray-clinic-chinchwad
153,Vighanharta Sai Hospital & Laboratory,"Alandi Road, Pune",2.0,,https://www.practo.com/pune/hospital/vighanharta-sai-hospital-laboratory-alandi-road
154,Dr. More's Children Hospital,"Pimple Gurav, Pune",2.0,15.0,https://www.practo.com/pune/hospital/more-039-s-childrens-hospital-asrar
155,Atharv Hospital,"Shivaji Nagar, Pune",1.0,10.0,https://www.practo.com/pune/hospital/atharv-hospital-shivaji-nagar-2
156,Todkar Hospital,"Bhavani Peth, Pune",9.0,15.0,https://www.practo.com/pune/hospital/todkar-hospital-bhavani-peth
157,Kamat Hospital,"Chinchwad, Pune",2.0,50.0,https://www.practo.com/pune/hospital/kamat-medical-foundation-chinchwad
158,Apollo Cradle Hospital,"Sadashiv Peth, Pune",2.0,10.0,https://www.practo.com/pune/hospital/apollo-cradle-hospital-for-women-and-children-sadashiv-peth
159,Samarth Nursing Home And Multi speciality Hospital,"Dhankawadi, Pune",2.0,,https://www.practo.com/pune/hospital/samarth-nursing-home-katraj-1
160,Unity Hospital,"Aundh, Pune",1.0,10.0,https://www.practo.com/pune/hospital/unity-hospital-aundh-1
161,Ranka Multispeciality Hospital,"Swargate, Pune",8.0,101.0,https://www.practo.com/pune/hospital/ranka-hospital-swargate
162,Prakasah Netralaya,"Kothrud, Pune",13.0,2.0,https://www.practo.com/pune/hospital/prakasah-netralaya-pashan
163,Surya Hospital,"Kasba Peth, Pune",3.0,75.0,https://www.practo.com/pune/hospital/surya-hospital-pune-1
164,HV Desai Eye Hospital,"Hadapsar, Pune",2.0,250.0,https://www.practo.com/pune/hospital/hv-desai-eye-clinic-hadapsar
165,Suryaprabha Nursing Home,"Paud Road, Pune",2.0,,https://www.practo.com/pune/hospital/suryaprabha-nursing-home-paud-road-2
166,C T Hospital,"Dhanori, Pune",4.0,30.0,https://www.practo.com/pune/hospital/ct-hospital-d-dhanori
167,CT Nursing Home,"Dhanori, Pune",1.0,20.0,https://www.practo.com/pune/hospital/ct-nursing-home-dhanori-1
168,Inamdar Hospital,"NIBM, Pune",2.0,15.0,https://www.practo.com/pune/hospital/inamdar-hospital-nibm-market-yard
169,Phoenix Hospital,"Wakad, Pune",1.0,60.0,https://www.practo.com/pune/hospital/phoenix-hospital-pune
170,Ashwini Hospital,"Balewadi, Pune",16.0,20.0,https://www.practo.com/pune/hospital/ashwini-hospital-balewadi-baner
171,Bhave Hospital,"Satara Road, Pune",9.0,,https://www.practo.com/pune/hospital/bhave-hospital-satara-road
172,Apollo Spectra Hospitals,"Sadashiv Peth, Pune",4.0,35.0,https://www.practo.com/pune/hospital/apollo-spectra-hospitals-pune-sadashiv-peth
173,Umarji Mother And Child Care Hospital,"Baner Road, Pune",2.0,35.0,https://www.practo.com/pune/hospital/umarji-mother-and-child-care-hospital-baner-road
174,Shree Hospital,"Kharadi, Pune",4.0,75.0,https://www.practo.com/pune/hospital/shree-hospital-kharadi-1
175,Dr. R G Ghatnekars - Kasturba General Hospital,"Vishrantwadi, Pune",1.0,40.0,https://www.practo.com/pune/hospital/late-dr-r-g-ghatnekars-kasturba-general-hospital-vishrantwadi
176,Patil Hospital,"Sinhagad Road, Pune",8.0,40.0,https://www.practo.com/pune/hospital/patil-hospital-sinhagad-road
177,Ozone Hospital,"Sangavi, Pune",2.0,25.0,https://www.practo.com/pune/hospital/ozone-hospital-3-sangavi-1
178,Colony Nursing Home,"Navi Peth, Pune",2.0,100.0,https://www.practo.com/pune/hospital/sangamnerkar-hospital-wadgaon-sheri
179,Khaire Hospital,"Chinchwad, Pune",1.0,20.0,https://www.practo.com/pune/hospital/khaire-hospital-chinchwad
180,Siddhi Hospital & Laparoscopy Center Pvt. Ltd.,"Dhankawadi, Pune",1.0,51.0,https://www.practo.com/pune/hospital/siddhi-hospital-laparoscopy-center-pvt-ltd-dhankawadi
181,Aditya Homoeopathic Hospital And Healing Centre,"Pimpri, Pune",3.0,72.0,https://www.practo.com/pune/hospital/aditya-homeopathic-hospital-and-healing-center-pimpri
182,Royal Hospital,"Katraj, Pune",1.0,6.0,https://www.practo.com/pune/hospital/royal-hospital-5-katraj
183,NuCare Hospital,"Baner, Pune",1.0,25.0,https://www.practo.com/pune/hospital/nucare-hospital-baner-1
184,Vighnharta Sai Hospital,"Bhosari, Pune",16.0,10.0,https://www.practo.com/pune/hospital/vighnharta-sai-hospital-dighi-camp
185,Krushna General Hospital,"Bhosari, Pune",2.0,16.0,https://www.practo.com/pune/hospital/krushna-general-hospital-bhosari
186,Sainath Hospital,"Moshi, Pune",1.0,100.0,https://www.practo.com/pune/hospital/sainath-hospital-8-bhosari
187,Bharati Vidyapeeth Deemed University & Medical College,"Dhankawadi, Pune",1.0,800.0,https://www.practo.com/pune/hospital/general-surgery-laparoscopy-endourosurgeries-pimpali
188,Dr. Mhaske Hospital & Research Center Pvt. Ltd.,"Hadapsar, Pune",2.0,22.0,https://www.practo.com/pune/hospital/dr-mhaske-hospital-research-center-pvt-ltd-hadapsar
189,Bhoir Hospital,"Thergaon, Pune",1.0,5.0,https://www.practo.com/pune/hospital/bhoir-hospital-thergaon-1
190,OM Hospital,"Senapati Bapat Marg, Pune",4.0,10.0,https://www.practo.com/pune/hospital/om-hospital-11
191,Ashirwad Eye Hospital,"Chinchwad, Pune",3.0,,https://www.practo.com/pune/hospital/ashirwad-eye-hospital
192,Unicare Hospital,"Chakan, Pune",13.0,75.0,https://www.practo.com/pune/hospital/unicare-hospital-chakan-1
193,K K Hospital,"Chandan Nagar, Pune",1.0,45.0,https://www.practo.com/pune/hospital/k-k-hospital-chandan-nagar-1
194,Vighanharta Sai Hospital And Laboratory,"Dighi Camp, Pune",2.0,,https://www.practo.com/pune/hospital/vighanharta-sai-hospital-and-laboratory-dighi-camp
195,Sanjeevani Hospital,"Chinchwad, Pune",1.0,5.0,https://www.practo.com/pune/hospital/sanjivani-hospital-chinchwad
196,Dy Patil Hospital,"Pimpri BK, Pune",2.0,,https://www.practo.com/pune/hospital/dy-patil-hospital-pimpri-bk
